,child-process,cpu#,hardirq-softirq,irqs-off,need-resched,need-resched_lazy,parent-process,preempt-depth,task-pid,timestamp
27387,notifier_call_chain,000,null,d,null,null,atomic_notifier_call_chain,2,pi_stress-2445,182903.353487
27388,vfp_notifier,000,null,d,null,null,notifier_call_chain,2,pi_stress-2445,182903.353488
27389,thumbee_notifier,000,null,d,null,null,notifier_call_chain,2,pi_stress-2445,182903.353489
27390,__rcu_read_unlock,000,null,d,null,null,atomic_notifier_call_chain,2,pi_stress-2445,182903.35349
27391,finish_task_switch,000,null,d,null,null,__schedule,2,pi_stress-2443,182903.353492
27392,preempt_count_sub,000,null,null,null,null,finish_task_switch,2,pi_stress-2443,182903.353493
27393,try_to_wake_up,000,null,null,null,null,__wake_up_q,null,pi_stress-2443,182903.353494
27394,preempt_count_add,000,null,d,null,null,try_to_wake_up,null,pi_stress-2443,182903.353495
27395,preempt_count_add,000,null,d,null,null,try_to_wake_up,1,pi_stress-2443,182903.353496
27396,update_rq_clock,000,null,d,null,null,try_to_wake_up,2,pi_stress-2443,182903.353497
27397,activate_task,000,null,d,null,null,try_to_wake_up,2,pi_stress-2443,182903.353499
27398,enqueue_task_rt,000,null,d,null,null,activate_task,2,pi_stress-2443,182903.3535
27399,dequeue_rt_stack,000,null,d,null,null,enqueue_task_rt,2,pi_stress-2443,182903.353501
27400,dequeue_top_rt_rq.constprop.9,000,null,d,null,null,dequeue_rt_stack,2,pi_stress-2443,182903.353502
27401,preempt_count_add,000,null,d,null,null,enqueue_task_rt,2,pi_stress-2443,182903.353503
27402,preempt_count_sub,000,null,d,null,null,enqueue_task_rt,3,pi_stress-2443,182903.353504
27403,enqueue_top_rt_rq.constprop.11,000,null,d,null,null,enqueue_task_rt,2,pi_stress-2443,182903.353506
27404,check_preempt_curr,000,null,d,null,null,try_to_wake_up,2,pi_stress-2443,182903.353507
27405,check_preempt_curr_rt,000,null,d,null,null,check_preempt_curr,2,pi_stress-2443,182903.353509
27406,resched_curr,000,null,d,null,null,check_preempt_curr_rt,2,pi_stress-2443,182903.35351
27407,ttwu_do_wakeup.part.20,000,null,d,n,null,try_to_wake_up,2,pi_stress-2443,182903.353512
27408,preempt_count_sub,000,null,d,n,null,try_to_wake_up,2,pi_stress-2443,182903.353513
27409,preempt_count_sub,000,null,null,n,null,try_to_wake_up,1,pi_stress-2443,182903.353514
27410,rcu_note_context_switch,000,null,d,n,null,__schedule,1,pi_stress-2443,182903.353515
27411,rcu_sched_qs,000,null,d,n,null,rcu_note_context_switch,1,pi_stress-2443,182903.353517
27412,rcu_preempt_qs,000,null,d,n,null,rcu_note_context_switch,1,pi_stress-2443,182903.353518
27413,preempt_count_add,000,null,d,n,null,__schedule,1,pi_stress-2443,182903.353519
27414,update_rq_clock,000,null,d,n,null,__schedule,2,pi_stress-2443,182903.35352
27415,pick_next_task_dl,000,null,d,n,null,__schedule,2,pi_stress-2443,182903.353521
27416,pick_next_task_rt,000,null,d,n,null,__schedule,2,pi_stress-2443,182903.353522
